Country,Total Fertility Rate (live births per woman),Teen Births per capita,female_workforce_participation,SSA,female_workforce_participation_log,GDP Per Capita,GDP Per Capita_log,Teen Birth Log,East Asian-Buddhist-Hindu,European-Western,Non-SSA-Non-European-Muslim,Latin American
Romania,1.713,0.000939144,42.008,0,3.737860076,18404.27309,9.82033815,-6.970542006,0,1,0,0
Russian Federation,1.449,0.000336743,55.199,0,4.010944837,14159.3877,9.558133125,-7.996191965,0,1,0,0
Denmark,1.511,3.24E-05,59.812,0,4.09120631,68453.87693,11.13391547,-10.33589826,0,1,0,0
Estonia,1.35,0.000131656,61.049,0,4.11167682,30133.30445,10.3133863,-8.935315634,0,1,0,0
Finland,1.28,8.37E-05,57.489,0,4.051593625,52821.51143,10.8746738,-9.387885972,0,1,0,0
Iceland,1.54,0.00010063,70.368,0,4.253738614,79960.09615,11.28928299,-9.204059148,0,1,0,0
Ireland,1.598,0.000131624,59.968,0,4.093811087,103887.8004,11.55106675,-8.935562979,0,1,0,0
Latvia,1.338,0.000195496,55.383,0,4.014272687,22675.57863,10.02904379,-8.539973053,0,1,0,0
Lithuania,1.201,0.000136996,57.914,0,4.058959152,27786.00578,10.23228778,-8.895559205,0,1,0,0
Norway,1.405,4.04E-05,61.765,0,4.123336861,87497.32893,11.37936355,-10.11656573,0,1,0,0
Sweden,1.43,4.99E-05,61.763,0,4.12330448,55567.08901,10.92534638,-9.904577471,0,1,0,0
United Kingdom,1.56,0.000235794,57.365,0,4.049434361,49200.81015,10.80366537,-8.352553889,0,1,0,0
Albania,1.348,0.000374513,53.207,0,3.974189967,8575.171346,9.056626254,-7.889885324,0,1,0,0
Bosnia and Herzegovina,1.486,0.000280684,39.533,0,3.677135766,8663.02323,9.066819043,-8.178279991,0,1,0,0
Croatia,1.468,0.00016504,47.144,0,3.853206748,21865.45628,9.992663332,-8.709322123,0,1,0,0
Greece,1.334,0.000175536,44.673,0,3.799369292,23400.72788,10.06052241,-8.647665907,0,1,0,0
Italy,1.198,6.72E-05,41.313,0,3.72117722,39065.42444,10.57299307,-9.607678068,0,1,0,0
Malta,1.098,0.000206396,55.016,0,4.007624052,40182.43139,10.60118515,-8.485713782,0,1,0,0
Montenegro,1.803,0.00027622,41.601,0,3.728124205,12077.37471,9.399089123,-8.194311385,0,1,0,0
North Macedonia,1.465,0.000359755,41.898,0,3.735238093,8624.284002,9.062337224,-7.930087205,0,1,0,0
Portugal,1.508,0.000170458,54.891,0,4.005349401,27386.29206,10.21779788,-8.677023166,0,1,0,0
Serbia,1.5,0.000345332,49.949,0,3.911002485,12281.50585,9.41584982,-7.971005588,0,1,0,0
Slovenia,1.576,8.17E-05,53.532,0,3.980279606,32610.11092,10.39237767,-9.412878162,0,1,0,0
Spain,1.213,0.000122914,52.842,0,3.967306329,33509.0128,10.41956972,-9.004026283,0,1,0,0
Austria,1.317,9.00E-05,55.812,0,4.0219889,56033.57379,10.93370632,-9.315382844,0,1,0,0
Belgium,1.379,0.000102024,49.831,0,3.90863728,54690.09427,10.90943788,-9.190299294,0,1,0,0
France,1.639,0.00010539,51.826,0,3.947891954,44690.93454,10.70752595,-9.157841011,0,1,0,0
Germany,1.441,0.000120322,55.848,0,4.022633715,53940.40734,10.89563515,-9.02534028,0,1,0,0
Netherlands,1.43,5.08E-05,62.937,0,4.142134226,64572.00596,11.07553625,-9.886635702,0,1,0,0
Switzerland,1.433,3.47E-05,62.294,0,4.131865113,100631.8028,11.51922362,-10.26814882,0,1,0,0
Barbados,1.708,0.001434461,60.124,0,4.096409096,23804.02499,10.07760996,-6.546966063,0,0,0,0
Dominican Republic,2.243,0.002216875,52.482,0,3.960470254,10630.43174,9.271476086,-6.111656657,0,0,0,0
Haiti,2.656,0.002461289,60.128,0,4.096475623,1705.758085,7.441764916,-6.007070072,0,0,0,0
Jamaica,1.358,0.001444827,61.172,0,4.113689568,6839.725024,8.830502809,-6.539765563,0,0,0,0
Trinidad and Tobago,1.532,0.001102512,50.005,0,3.912123,18639.25924,9.833025347,-6.810164407,0,0,0,0
Belize,2.007,0.002573546,49.182,0,3.895527703,7459.998151,8.917310445,-5.962470755,0,0,0,1
Costa Rica,1.33,0.000905881,44.088,0,3.786187637,16942.02681,9.737552607,-7.006602195,0,0,0,1
El Salvador,1.775,0.002347366,46.622,0,3.842072533,5365.444914,8.587734581,-6.054461218,0,0,0,1
Guatemala,2.311,0.003523011,40.412,0,3.699126771,5758.308763,8.658399093,-5.648439314,0,0,0,1
Honduras,2.5,0.004002686,39.675,0,3.680721266,3227.457625,8.079449993,-5.520789551,0,0,0,1
Mexico,1.91,0.002548317,47.317,0,3.856869639,13826.13066,9.534315607,-5.972322239,0,0,0,1
Nicaragua,2.218,0.004367188,49.976,0,3.91154289,2609.444921,7.866892804,-5.433635982,0,0,0,1
Panama,2.119,0.002287183,52.694,0,3.964501597,18686.4051,9.835551538,-6.080434133,0,0,0,1
Argentina,1.5,0.000992174,52.957,0,3.969480263,14187.48273,9.560115357,-6.91561245,0,0,0,1
Brazil,1.619,0.001496703,53.205,0,3.974152377,10377.58928,9.247403883,-6.504490471,0,0,0,1
Chile,1.167,0.000196553,51.963,0,3.950531927,17067.03648,9.744904191,-8.534579218,0,0,0,1
Colombia,1.645,0.002243509,51.859,0,3.948528497,7000.836605,8.853784936,-6.099713911,0,0,0,1
Ecuador,1.823,0.002378632,52.521,0,3.96121309,6737.847484,8.815495789,-6.041229765,0,0,0,1
Guyana,2.412,0.002981777,40.327,0,3.69702122,20473.70022,9.926896425,-5.815235997,0,0,0,1
Paraguay,2.422,0.002936524,58.994,0,4.077435744,6299.990265,8.748303367,-5.83052866,0,0,0,1
Peru,1.98,0.001832615,65.083,0,4.175663378,7887.541859,8.973039814,-6.302011135,0,0,0,1
Suriname,2.249,0.002049656,44.666,0,3.799212586,5494.074094,8.611425353,-6.190083276,0,0,0,1
Uruguay,1.409,0.00089136,57.276,0,4.047881688,23019.42216,10.04409358,-7.022762132,0,0,0,1
Canada,1.349,0.000127077,61.134,0,4.113068176,54220.3285,10.90081118,-8.970719832,0,1,0,0
United States of America,1.624,0.000418549,56.602,0,4.03604432,82304.62043,11.31818253,-7.778717251,0,1,0,0
Australia,1.638,0.000193754,62.374,0,4.133148522,64835.91998,11.07961505,-8.548923407,0,1,0,0
New Zealand,1.667,0.000330573,66.932,0,4.203677179,48654.90423,10.79250789,-8.014682996,0,1,0,0
Fiji,2.281,0.000936,38.593,0,3.653070913,5888.736673,8.680796767,-6.973894758,0,0,0,0
Papua New Guinea,3.099,0.002550426,50.645,0,3.924840509,2966.068304,7.994992551,-5.971494695,0,0,0,0
Solomon Islands,3.557,0.002482484,82.426,0,4.411900921,2076.107688,7.638250116,-5.998495412,0,0,0,0
Vanuatu,3.596,0.003061712,53.991,0,3.988817366,3515.236336,8.164862038,-5.788781124,0,0,0,0
French Polynesia,1.501,0.00091065,46.295,0,3.835033964,22774.1419,10.03338104,-7.001352345,0,0,0,0
Samoa,3.829,0.002086189,31.055,0,3.435759826,4330.178405,8.373364022,-6.17241625,0,0,0,0
Tonga,3.129,0.001386273,41.963,0,3.736788278,4863.763846,8.489567871,-6.581136407,0,0,0,0
Republic of Korea,0.72,1.15365E-05,53.772,0,3.984752886,33121.37129,10.40793401,-11.36999351,1,0,0,0
